samples, sBleu-2, sBleu-3, sBleu-4, sBleu-5
200,0.5457310031988386,0.3559498403624848,0.23718654482894938,0.13187807866809104
200,0.5758709054913477,0.34917919791708923,0.21312328677394807,0.13971996696502276
200,0.5980680454591858,0.35299900739614637,0.2183766021314014,0.12534532628244635
300,0.6136352935779956,0.40491348322962334,0.21985693459439853,0.1508843845081586
300,0.649316172913685,0.35628111441514915,0.24162076953545905,0.13637701700763905
300,0.6462629192748917,0.3951796262223345,0.24070803552472228,0.13692738509263694
400,0.6596319633566136,0.40952018672095564,0.26271484073909884,0.17980779653711287
400,0.6592179491083091,0.4435738579636866,0.2817268846917288,0.17484690612085074
400,0.6492468160198739,0.41623911219564824,0.2461730900733162,0.17279255235377047
500,0.6853583766310275,0.45023218246322333,0.3039257133911809,0.17268373234814705
500,0.6872624229880032,0.4564864026427478,0.28329929328682746,0.18380402251869257
500,0.6808103222819281,0.4652160229167022,0.273397848837157,0.19126384396162135
600,0.7069373481573308,0.46673819751121204,0.3021110222193254,0.20345490014574577
600,0.6954198923660982,0.48329793489976264,0.29879798838859173,0.18312740163333388
600,0.6980844839402255,0.4678628549071967,0.29490863100930775,0.19072399918656333
700,0.7303149796607646,0.4924750132113168,0.3172908404438188,0.19016752111842683
700,0.7158051415754878,0.48257115363270237,0.30643381981688433,0.2048506391591966
700,0.7126752843861018,0.4971188039495487,0.33077359530706074,0.19234937841207614
800,0.7331823599567865,0.49550878413539196,0.3270786489813091,0.21178798276152264
800,0.7288745188644744,0.5183373664248105,0.3298143677753738,0.2078926340988284
800,0.7329727941060881,0.4947415760716067,0.3285171342441719,0.21153986327699642
900,0.7376231122694263,0.5260866485875432,0.34404467175866116,0.22208151692949082
900,0.7304426205285585,0.5303743330854092,0.3381799509098011,0.21775977640760466
900,0.7343778119426827,0.5228585994436991,0.33784486747390147,0.2229095939527937
1000,0.7483016122767947,0.5328887470183182,0.34099252641226313,0.21871997901684656
1000,0.7443458903313259,0.5288946193160281,0.34971671334843624,0.2415222105372629
1000,0.7486198298123315,0.5294047113910281,0.34123147581669666,0.21487185767485817
1100,0.7493145053671278,0.5508499982416992,0.3633826581924859,0.226620053852198
1100,0.7520631225236678,0.5476624703490576,0.3530095050098726,0.23352195188098118
1100,0.7530568228753709,0.5337997246841755,0.37232509928030455,0.24195157584592358
1200,0.762487037049096,0.549846053525953,0.361334560881708,0.23511430586977472
1200,0.7588203088634162,0.5488818394506594,0.37237067013689845,0.23709703151303502
1200,0.7635897715904931,0.5461393067953808,0.36682686173996676,0.23772716290803164
1300,0.7712997809118673,0.5642941988871335,0.369772510416199,0.24045692758268283
1300,0.7674072255394428,0.5623280365323872,0.38630790403022036,0.2391517219904528
1300,0.7761793571031195,0.551861505632995,0.37722643778446363,0.2519306356091215
1400,0.7685156305899595,0.556677252003894,0.3804678825568865,0.24638630492219993
1400,0.776590479506238,0.56522133629444,0.3884467146100956,0.25317418502217687
1400,0.7703405452463973,0.5748346104125023,0.3838498843959333,0.25327224217069866
1500,0.7851329029928842,0.5729441221540146,0.3769442738687886,0.268273934915245
1500,0.7767437457197786,0.5651443197749606,0.38881235836587075,0.26407429586735803
1500,0.7833628430252771,0.5644509355615749,0.39276467995459885,0.2590358065983345
1600,0.7864630993165236,0.5815843750221199,0.40466289919192,0.2607485756849084
1600,0.7830657690094704,0.5878571112714461,0.4025373448118178,0.2682155546972152
1600,0.7903493473118648,0.5841000063980237,0.39682406038946977,0.26774558621027855
1700,0.7907212326962813,0.5836284885275721,0.40504774293322404,0.26316504784998446
1700,0.7867635583138182,0.5910698074303723,0.39769105992070625,0.2626948319959035
1700,0.7877415254946608,0.582131669297381,0.395520295037406,0.2710448413921147
1800,0.7930197110591221,0.5910382938225806,0.4095769023819712,0.26982833967904285
1800,0.7912431655899914,0.5988525115608888,0.41108130142327104,0.26581648715938044
1800,0.792859281672498,0.5923166346055995,0.3963613405372968,0.26330990109172225
1900,0.7981086100204359,0.5902082779999713,0.4043119634583841,0.2761089719749564
1900,0.802271375993448,0.5924603707335057,0.4141817179207872,0.2743312641889472
1900,0.7972306787947858,0.5993694664945421,0.4110411366042342,0.28065387404016867
2000,0.7937681722672476,0.6019563990513731,0.4197740531427696,0.26943544597924834
2000,0.8023216784883689,0.5958984609909185,0.4187119076623582,0.26951610467450554
2000,0.803851998642062,0.6113314779884057,0.409597261492703,0.2872569264567469
